DATE,APPLE,EXXON_MOBIL,FORD,GEN_ELECTRIC,INTEL,MICROSOFT,NETFLIX,NOKIA,SP500,YAHOO
13/02/2007,84.630001,75.190002,8.45,35.93,20.959999,29.17,22.9,22.91,1443.910034,29.690001
14/02/2007,85.44,75.260002,8.55,36.360001,21.209999,29.58,22.48,22.950001,1455.150024,30.82
15/02/2007,85.250002,74.900002,8.54,36.07,21.26,28.91,22.52,23.030001,1456.77002,31
19/02/2007,84.650002,74.720001,8.56,35.860001,21.059999,28.629999,22.95,22.799999,1455.530029,31.799999
20/02/2007,85.979999,74.620003,8.67,35.990002,20.969999,28.75,23.519999,22.84,1459.599976,31.74
21/02/2007,90.800002,75.290001,8.48,35.82,21,29.309999,23.42,22.780001,1457.290039,31.6
22/02/2007,89.159998,75.519997,8.35,35.330002,20.83,29.219999,23.76,22.860001,1456.219971,31.6
25/02/2007,89.84,74.889999,8.31,35.259998,20.809999,28.959999,23.71,22.370001,1451.040039,32.799999
26/02/2007,86.299999,72.230003,8.12,35.299999,20.49,28.709999,22.77,21.790001,1449.25,31.379999
27/02/2007,82.999997,70.900002,7.9,34.799999,20.049999,27.950001,22.11,21.23,1398.640015,30.860001
28/02/2007,84.030001,70.949997,7.77,34.610001,19.52,27.82,22.359999,21.219999,1406.800049,30.129999
01/03/2007,86.770003,69.349998,7.75,34.93,19.51,28.02,22.83,20.790001,1403.160034,30.540001
04/03/2007,85.890003,70.699997,7.52,34.740002,18.98,27.49,22.01,21.450001,1387.109985,30.18
05/03/2007,87.8,71,7.67,34.73,19.34,27.799999,21.250001,21.43,1374.060059,30.889999
06/03/2007,88.049999,72.150002,7.71,34.740002,19.360001,27.76,21.5,21.639999,1395.02002,30.950001
07/03/2007,88.589998,71.949997,7.81,34.599998,19.280001,27.719999,21.21,21.809999,1391.880005,30.82
08/03/2007,88.800003,70.800003,8.05,34.57,19.360001,27.42,21.5,21.66,1401.890015,29.85
11/03/2007,88.07,70.370003,7.95,34.279999,19.110001,27.18,21,21.549999,1402.800049,29.299999
12/03/2007,89.409997,70.099998,7.84,34.27,19.290001,27.25,21,21.190001,1406.22998,29.77
13/03/2007,88.599998,70.709999,7.61,34.09,19.190001,26.82,20.51,21.360001,1377.859985,29.629999
14/03/2007,89.960003,70.769997,7.55,34.200001,19.209999,27.32,21.170001,21.92,1387.109985,29.809999
15/03/2007,89.54,70.120003,7.63,34.599998,19.15,27.35,21.15,22.209999,1392.280029,30.02
18/03/2007,90.240003,71.120003,7.58,34.5,19.200001,27.34,21.109999,21.9,1386.949951,30
19/03/2007,91.350001,72.440002,7.77,34.630001,19.040001,27.93,21.37,22.41,1402.040039,30
20/03/2007,91.990003,73.529999,7.91,34.75,19.049999,27.9,22.55,23.190001,1410.920044,30.33
21/03/2007,93.730002,74.660004,8.03,35.439999,19.24,28.52,23.000001,22.99,1435.040039,31.360001
22/03/2007,93.35,75.440002,8.06,35.790001,19.190001,28.219999,23.000001,22.959999,1434.540039,31.33
25/03/2007,93.990002,75.370003,7.94,35.849998,19.26,27.940001,23.75,22.790001,1436.109985,31.25
26/03/2007,95.710001,76.160004,7.88,35.799999,19.25,28.040001,23.33,22.549999,1437.48999,31.559999
27/03/2007,94.880002,75.830002,7.84,35.700001,18.98,27.58,23.62,22.92,1428.349976,31.450001
28/03/2007,94.19,76.239998,8.02,35.599998,19.01,27.84,23.41,22.84,1417.170044,31.709999
29/03/2007,94.280002,75.349998,7.97,35.560001,19.08,27.75,23.41,22.76,1422.52002,31.209999
01/04/2007,94.139998,76.099998,7.9,35.360001,19.15,27.889999,23.299999,22.84,1420.829956,31.219999
02/04/2007,94.139998,76.589996,8.09,35.43,19.219999,27.860001,23.56,23.379999,1424.27002,31.41
03/04/2007,94.939997,77.099998,8.04,35.369999,19.35,28.01,23.880001,23.540001,1437.75,31.610001
04/04/2007,94.119998,76.769997,8.02,35.130001,19.290001,28.32,24.44,23.700001,1438.939941,32
08/04/2007,95.210003,76.800003,8.05,35.099998,19.879999,28.58,24.23,23.620001,1443.77002,32.009998
09/04/2007,93.670001,77.599998,8.09,34.799999,20.1,28.5,24.48,23.790001,1444.579956,31.639999
10/04/2007,93.9,76.970001,8.14,35,20.59,28.299999,24.72,23.379999,1448.22998,31.65
11/04/2007,92.039997,77.5,8.11,35.16,20.379999,28.059999,24.450001,23.700001,1438.869995,31.26
12/04/2007,90.899998,77.639999,8.11,35.599998,20.41,28.43,24.57,23.99,1447.800049,31.15
15/04/2007,90.569997,78.269997,8.05,35.5,20.41,28.6,24.7,24.049999,1452.839966,31.68
16/04/2007,92.000003,78.169998,8,35.369999,20.67,28.629999,24.600001,23.799999,1468.469971,31.98
17/04/2007,90.160001,77.93,7.85,35.16,21.32,28.610001,21.2,24.700001,1471.469971,28.42
18/04/2007,90.190001,78.379997,7.82,35.049999,21.16,28.34,21.13,25,1472.47998,28.1
19/04/2007,90.889997,79.5,7.81,35.23,22.049999,28.98,22,24.879999,1470.689941,27.860001
22/04/2007,91.59,79,7.73,35.130001,22.030001,28.959999,22.03,25.139999,1484.329956,27.530001
