obs,CONS,INC,TIME
1988Q1,53803.3,69522,725736
1988Q2,54124.1,70033.3,725827
1988Q3,54383.8,70634.5,725918
1988Q4,54783.6,71321.8,726010
1989Q1,54980.6,72377.2,726102
1989Q2,55462.3,73251.1,726192
1989Q3,56069,73930,726283
1989Q4,56267.2,74588.5,726375
1990Q1,56836.4,75432.4,726467
1990Q2,57565.3,76065.7,726557
1990Q3,57746.7,77117,726648
1990Q4,58349.7,77825.5,726740
1991Q1,58983.6,77390.5,726832
1991Q2,58927.4,78301.8,726922
1991Q3,59025,78612.8,727013
1991Q4,59716.2,79636.5,727105
1992Q1,59609.4,80021.7,727197
1992Q2,59440.7,79321.4,727288
1992Q3,59978.6,79556.6,727379
1992Q4,60690.1,79983.5,727471
1993Q1,59801.5,80332.3,727563
1993Q2,60825.8,80557.2,727653
1993Q3,60986.7,81227,727744
1993Q4,61104.5,80789.5,727836
1994Q1,61419.1,81879.9,727928
1994Q2,61864.4,82866.6,728018
1994Q3,62031.5,83527.8,728109
1994Q4,62217.5,84355.6,728201
1995Q1,62816.7,84814.2,728293
1995Q2,63314.2,85546.7,728383
1995Q3,63888.4,86261.1,728474
1995Q4,63982.4,86871.5,728566
1996Q1,64407.7,86901.4,728658
1996Q2,64918.5,88654.2,728749
1996Q3,65422.3,89298.5,728840
1996Q4,66032.6,89901.9,728932
1997Q1,66556.2,90769.8,729024
1997Q2,66990.5,92103.1,729114
1997Q3,67446,93105.5,729205
1997Q4,68073.8,94195,729297
1998Q1,68823.8,95152.3,729389
1998Q2,69721.5,95728.2,729479
1998Q3,70717.5,96353.2,729570
1998Q4,71404,97206.9,729662
1999Q1,72242.2,98854.1,729754
1999Q2,73040.4,99864.8,729844
1999Q3,73744.8,101016.5,729935
1999Q4,74319.2,102393.8,730027
2000Q1,74959.3,103286.8,730119
2000Q2,75348.5,104445.3,730210
2000Q3,76037.5,104992.6,730301
2000Q4,76348.6,105576.4,730393
2001Q1,77110.8,106244.5,730485
2001Q2,77529.3,106790.2,730575
2001Q3,77826.2,106734.3,730666
2001Q4,78269.8,106872,730758
2002Q1,78501.4,106301.6,730850
2002Q2,78956.3,106851.1,730940
2002Q3,79153,106940,731031
2002Q4,79271.2,106890.9,731123
2003Q1,79667.3,107039.1,731215
2003Q2,79530.2,106796.8,731305
2003Q3,79502.4,106966.5,731396
2003Q4,79734.4,107542,731488
2004Q1,79820.1,108564.3,731580
2004Q2,80166.5,109088.1,731671
2004Q3,80184.1,109571.9,731762
2004Q4,80283.8,109808.3,731854
2005Q1,80055.6,110186.1,731946
2005Q2,80476.9,111313.5,732036
2005Q3,81197.4,112174,732127
2005Q4,81369,112852.5,732219
2006Q1,82378.8,113800.8,732311
2006Q2,83216.2,115530.4,732401
2006Q3,83281.6,115932.1,732492
2006Q4,83553.3,116708.4,732584
2007Q1,84233.5,118250.3,732676
2007Q2,84618.5,118964.9,732766
2007Q3,85447.4,120608.9,732857
2007Q4,86010.2,122213.8,732949
2008Q1,85913.9,122816,733041
2008Q2,86597.8,122339.5,733132
2008Q3,86889.5,122378.4,733223
2008Q4,87093.7,120974.5,733315
2009Q1,87023.4,118268.1,733407
2009Q2,86748.8,116668.1,733497
2009Q3,87121.6,117551.8,733588
2009Q4,87245.1,118151.1,733680
2010Q1,87160.7,118669.9,733772
2010Q2,87260.6,119356.9,733862
2010Q3,87417.8,119486.1,733953
2010Q4,88001.2,120510.3,734045
2011Q1,87213.2,121219.3,734137
2011Q2,87176.8,121229.9,734227
2011Q3,86841.6,120748,734318
2011Q4,86579.1,119971,734410
2012Q1,86767.4,120271,734502
