Case Daily Trends - United States
Date generated: Fri Feb 26 2021 11:40:34 GMT+0100 (CET)

Date,New Cases,7-Day Moving Avg
Feb 24 2021,74806,66347
Feb 23 2021,69339,65426
Feb 22 2021,55030,63759
Feb 21 2021,54575,63915
Feb 20 2021,70097,65811
Feb 19 2021,72851,68304
Feb 18 2021,67737,71954
Feb 17 2021,68359,76740
Feb 16 2021,57668,80796
Feb 15 2021,56120,85542
Feb 14 2021,67851,89899
Feb 13 2021,87547,93254
Feb 12 2021,98401,96056
Feb 11 2021,101239,100259
Feb 10 2021,96750,103584
Feb 9 2021,90889,107059
Feb 8 2021,86616,110768
Feb 7 2021,91340,116369
Feb 6 2021,107161,119415
Feb 5 2021,127820,124316
Feb 4 2021,124513,129556
Feb 3 2021,121076,134466
Feb 2 2021,116855,139386
Feb 1 2021,125819,143953
Jan 31 2021,112666,145137
Jan 30 2021,141463,149356
Jan 29 2021,164503,153686
Jan 28 2021,158886,157585
Jan 27 2021,155511,161857
Jan 26 2021,148827,166207
Jan 25 2021,134109,166028
Jan 24 2021,142195,168203
Jan 23 2021,171771,174468
Jan 22 2021,191799,180369
Jan 21 2021,188790,188039
Jan 20 2021,185963,193447
Jan 19 2021,147569,198987
Jan 18 2021,149337,209231
Jan 17 2021,186053,216598
Jan 16 2021,213077,221974
Jan 15 2021,245490,227072
Jan 14 2021,226644,237028
Jan 13 2021,224743,244634
Jan 12 2021,219276,247990
Jan 11 2021,200906,249303
Jan 10 2021,223684,245488
Jan 9 2021,248765,243349
Jan 8 2021,315179,248579
Jan 7 2021,279886,228477
Jan 6 2021,248234,221413
Jan 5 2021,228470,218997
Jan 4 2021,174203,215167
Jan 3 2021,208706,214630
Jan 2 2021,285380,206459
Jan 1 2021,174462,191279
Dec 31 2020,230436,186883
Dec 30 2020,231327,181621
Dec 29 2020,201658,181416
Dec 28 2020,170443,180705
Dec 27 2020,151508,182764
Dec 26 2020,179120,189485
Dec 25 2020,143690,192781
Dec 24 2020,193605,205996
Dec 23 2020,229888,213821
Dec 22 2020,196682,215503
Dec 21 2020,184857,216744
Dec 20 2020,198555,219787
Dec 19 2020,202196,217620
Dec 18 2020,236190,219672
Dec 17 2020,248384,221293
Dec 16 2020,241660,215374
Dec 15 2020,205369,214370
Dec 14 2020,206156,216926
Dec 13 2020,183387,214296
Dec 12 2020,216558,213368
Dec 11 2020,247542,212418
Dec 10 2020,206952,208204
Dec 9 2020,234628,210527
Dec 8 2020,223264,205576
Dec 7 2020,187745,199649
Dec 6 2020,176891,194796
Dec 5 2020,209908,191525
Dec 4 2020,218041,182179
Dec 3 2020,223218,175820
Dec 2 2020,199966,165506
Dec 1 2020,181774,163453
Nov 30 2020,153776,161454
Nov 29 2020,153994,162216
Nov 28 2020,144489,161631
Nov 27 2020,173527,167731
Nov 26 2020,151021,170771
Nov 25 2020,185594,175994
Nov 24 2020,167778,173444
Nov 23 2020,159111,173328
Nov 22 2020,149903,172541
Nov 21 2020,187189,165744
Nov 20 2020,194807,167218
Nov 19 2020,187581,165705
Nov 18 2020,167742,161884
Nov 17 2020,166963,158898
Nov 16 2020,153608,154866
Nov 15 2020,102318,150400
Nov 14 2020,197510,151209
Nov 13 2020,184213,136643
Nov 12 2020,160836,129709
Nov 11 2020,146844,123990
Nov 10 2020,138736,118721
Nov 9 2020,122346,111993
Nov 8 2020,107979,107089
Nov 7 2020,95553,111277
Nov 6 2020,135672,110375
Nov 5 2020,120805,105385
Nov 4 2020,109960,101086
Nov 3 2020,91637,97263
Nov 2 2020,88017,94578
Nov 1 2020,137296,91274
Oct 31 2020,89240,80686
Oct 30 2020,100746,80011
Oct 29 2020,90711,77614
Oct 28 2020,83200,75327
Oct 27 2020,72842,72628
Oct 26 2020,64886,70910
Oct 25 2020,63182,70336
Oct 24 2020,84512,68111
Oct 23 2020,83969,63746
Oct 22 2020,74701,61865
Oct 21 2020,64310,60260
Oct 20 2020,60811,59687
Oct 19 2020,60870,57837
Oct 18 2020,47608,55883
Oct 17 2020,53956,55690
Oct 16 2020,70803,55696
Oct 15 2020,63466,53988
Oct 14 2020,60298,52819
Oct 13 2020,47862,51875
Oct 12 2020,47189,50739
Oct 11 2020,46262,49725
Oct 10 2020,53996,48387
Oct 9 2020,58843,47629
Oct 8 2020,55284,46422
Oct 7 2020,53693,45339
Oct 6 2020,39912,44261
Oct 5 2020,40085,44092
Oct 4 2020,36896,43249
Oct 3 2020,48692,43240
Oct 2 2020,50393,43363
Oct 1 2020,47704,42794
Sep 30 2020,46149,42077
Sep 29 2020,38727,41442
Sep 28 2020,34185,42744
Sep 27 2020,36830,43545
Sep 26 2020,49559,43704
Sep 25 2020,46410,42728
Sep 24 2020,42680,43150
Sep 23 2020,41709,43289
Sep 22 2020,47836,43400
Sep 21 2020,39791,41519
Sep 20 2020,37943,40739
Sep 19 2020,42731,40285
Sep 18 2020,49364,40007
Sep 17 2020,43649,39407
Sep 16 2020,42492,38604
Sep 15 2020,34664,37320
Sep 14 2020,34331,35792
Sep 13 2020,34767,34654
Sep 12 2020,40782,34666
Sep 11 2020,45169,35429
Sep 10 2020,38026,36057
Sep 9 2020,33507,37018
Sep 8 2020,23967,37996
Sep 7 2020,26365,40848
Sep 6 2020,34850,41761
Sep 5 2020,46120,42354
Sep 4 2020,49568,41970
Sep 3 2020,44754,41314
Sep 2 2020,40349,41695
Sep 1 2020,43931,42700
Aug 31 2020,32757,41759
Aug 30 2020,39001,41880
Aug 29 2020,43431,41889
Aug 28 2020,44981,42207
Aug 27 2020,47421,42540
Aug 26 2020,47380,42207
Aug 25 2020,37344,42138
Aug 24 2020,33603,42485
Aug 23 2020,39067,43277
Aug 22 2020,45659,43834
Aug 21 2020,47307,45131
Aug 20 2020,45091,46507
